ano,mes,maquina,central,codigo_agente,agente_descripcion,region,provincia,pais,tipo_maquina,fuente_generacion,tecnologia,categoria_hidraulica,categoria_region,generacion_neta,grupo_economico,lon,lat,geo_nombre,geo_tecnologia,geo_nombre_age,potencia_instalada,geo_provincia,geo_sistema
2025,2025-03-01,LDCUTV12,LDCU,CTMENZAG,C. TERMICAS MENDOZA SA,CUYO,MENDOZA,Argentina,TURBO VAPOR,Térmica,TV,,Cuyo,777.292,CENTRAL PUERTO S.A.,-68.9808278777804,-33.0556831430012,LUJAN DE CUYO,Térmica,C. TERMICAS MENDOZA PLUS - C. TERMICAS MENDOZA SA - LUJAN DE CUYO COGENERAC.PUERTO,573.556,MENDOZA,Interconectado MEM
2025,2025-03-01,LDCUTV15,LDCU,CTMENPLG,C. TERMICAS MENDOZA PLUS,CUYO,MENDOZA,Argentina,TURBO VAPOR,Térmica,CC,,Cuyo,45668.602,CENTRAL PUERTO S.A.,-68.9808278777804,-33.0556831430012,LUJAN DE CUYO,Térmica,C. TERMICAS MENDOZA PLUS - C. TERMICAS MENDOZA SA - LUJAN DE CUYO COGENERAC.PUERTO,573.556,MENDOZA,Interconectado MEM
2025,2025-03-01,LDLATG01,LDLA,PAMPAENG,C.T. LOMA DE LA LATA S.A.,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,CC,,Comahue,55688.825,PAMPA ENERGÍA S.A.,-68.6061703641719,-38.5126579765515,CT NEUQUEN,Térmica,CT LOMA DE LA LATA II(NEUQEUN) - C.T. LOMA DE LA LATA S.A.,765.0,NEUQUEN,Interconectado MEM
2025,2025-03-01,LDLATG02,LDLA,PAMPAENG,C.T. LOMA DE LA LATA S.A.,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,CC,,Comahue,74572.327,PAMPA ENERGÍA S.A.,-68.6061703641719,-38.5126579765515,CT NEUQUEN,Térmica,CT LOMA DE LA LATA II(NEUQEUN) - C.T. LOMA DE LA LATA S.A.,765.0,NEUQUEN,Interconectado MEM
2025,2025-03-01,LDLATG03,LDLA,PAMPAENG,C.T. LOMA DE LA LATA S.A.,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,CC,,Comahue,75229.647,PAMPA ENERGÍA S.A.,-68.6061703641719,-38.5126579765515,CT NEUQUEN,Térmica,CT LOMA DE LA LATA II(NEUQEUN) - C.T. LOMA DE LA LATA S.A.,765.0,NEUQUEN,Interconectado MEM
2025,2025-03-01,LDLATG04,LDLA,PAMPAENG,C.T. LOMA DE LA LATA S.A.,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,TG,,Comahue,27950.3,PAMPA ENERGÍA S.A.,-68.6061703641719,-38.5126579765515,CT NEUQUEN,Térmica,CT LOMA DE LA LATA II(NEUQEUN) - C.T. LOMA DE LA LATA S.A.,765.0,NEUQUEN,Interconectado MEM
2025,2025-03-01,LDLATG05,LDLA,CTLLATAG,CT LOMA DE LA LATA II(NEUQEUN),COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,TG,,Comahue,34429.184,PAMPA ENERGÍA S.A.,-68.6061703641719,-38.5126579765515,CT NEUQUEN,Térmica,CT LOMA DE LA LATA II(NEUQEUN) - C.T. LOMA DE LA LATA S.A.,765.0,NEUQUEN,Interconectado MEM
2025,2025-03-01,LDLATV01,LDLA,PAMPAENG,C.T. LOMA DE LA LATA S.A.,COMAHUE,NEUQUEN,Argentina,TURBO VAPOR,Térmica,CC,,Comahue,113678.235,PAMPA ENERGÍA S.A.,-68.6061703641719,-38.5126579765515,CT NEUQUEN,Térmica,CT LOMA DE LA LATA II(NEUQEUN) - C.T. LOMA DE LA LATA S.A.,765.0,NEUQUEN,Interconectado MEM
2025,2025-03-01,LDLMDI01,LDLM,PAMPAENG,C.T. LOMA DE LA LATA S.A.,COMAHUE,NEUQUEN,Argentina,MOTOR DIESEL,Térmica,DI,,Comahue,0.0,PAMPA ENERGÍA S.A.,-68.6063782589938,-38.5109744397023,CT LOMA DE LA LATA MOTORES,Térmica,C.T. LOMA DE LA LATA S.A.,15.0,NEUQUEN,Interconectado MEM
2025,2025-03-01,LEALTV01,LEAL,ILEALESC,CTBM INGENIO LEALES,NOROESTE,TUCUMAN,Argentina,BIOMASA,Renovable,BIOM,,Noa,0.001,BIOELECTRICA LEALES S.A.,-65.2288798655749,-27.0740667359836,C.T. COGENERACIÓN INGENIO LEALES,Biomasa,CTBM INGENIO LEALES,2.0,TUCUMAN,Interconectado MEM
